pprojid	ptitle	data_owner	projid	title	license	use	lat,lon OK in ecopart (0=no, 1=ok)	faulty_lights_fix (0=no, 1=not needed, 2=filtered)	flag_2_in_ecotaxa
60	uvp5_sn008_green_2015_icecamp	marcel.babin@takuvik.ulaval.ca	42	UVP5 GREEN EDGE Ice Camp 2015	CC BY-NC 4.0	x	1	1	
61	uvp5_sn008_green_2016_icecamp	marcel.babin@takuvik.ulaval.ca	315	UVP5 GREEN EDGE Ice Camp 2016	CC BY-NC 4.0	x	1	1	
62	uvp5_sn008_subice_2014	stemmann@obs-vlfr.fr	107	UVP5 Subice 2014		x	0	1	
63	uvp5_sn009_2015_goa	amcdonnell@alaska.edu	1904	uvp5_sn009_2015_goa_oa	CC BY 4.0		1	1	
64	uvp5_sn009_2015_p16n	amcdonnell@alaska.edu	43	uvp5_sn009_2015_p16n	CC BY 4.0	x	1	1	
65	uvp5_sn009_2015_p16n_goa	amcdonnell@alaska.edu	43	uvp5_sn009_2015_p16n	CC BY 4.0	x	1	1	
66	uvp5_sn009_sewardline_f2014	amcdonnell@alaska.edu	62	uvp5_sn009_sewardline_f2014	CC BY 4.0		1	1	
67	uvp5_sn009_txs14	amcdonnell@alaska.edu	65	uvp5_sn009_2014_nga_spring	CC BY 4.0		1	0	
68	uvp5_sn010_2014_m105	rkiko@geomar.de	602	UVP5 Geomar 2014 m105		x	1	1	
69	uvp5_sn010_2014_m106	rkiko@geomar.de	595	UVP5 Geomar 2014 m106		x	1	1	
70	uvp5_sn010_2014_m107	rkiko@geomar.de	559	UVP5 Geomar 2014 m107		x	1	1	
71	uvp5_sn010_2014_m108	rkiko@geomar.de	586	UVP5 Geomar 2014 m108		x	1	1	
72	uvp5_sn010_2014_ps88b	rkiko@geomar.de	558	UVP5 Geomar 2014 ps88b		x	1	1	
73	uvp5_sn010_2015_m116	rkiko@geomar.de	589	UVP5 Geomar 2015 m116		x	1	1	
74	uvp5_sn010_2015_m119	rkiko@geomar.de	590	UVP5 Geomar 2015 m119			1	1	
75	uvp5_sn010_2015_m120	rkiko@geomar.de	594	UVP5 Geomar 2015 m120		x	1	1	
76	uvp5_sn010_2015_m121	rkiko@geomar.de	560	UVP5 Geomar 2015 m121		x	1	1	
77	uvp5_sn010_2016_m130	rkiko@geomar.de	214	UVP5 Geomar 2016 m130			1	1	
80	uvp5_sn201_2015_naames_01	emmanuel.boss@maine.edu	617	UVP5hd NAAMES 01			1	1	
81	uvp5_sn201_2016_naames_02	lee.karp-boss@maine.edu	146	UVP5hd NAAMES02	CC BY-NC 4.0	x	1	1	
83	uvp5_sn201_ccelter_2017	tristan.biard@univ-littoral.fr	627	UVP5hd CCELTER 2017	CC BY-NC 4.0	x	1	1	
85	uvp5_sn202_ps99_21_06_3_filtered	andreas.rogge@awi.de, anya.waite@dal.ca	257	UVP5hd PS 99 20 06 03	Copyright		1	2	
86	uvp5_sn203_greenedge_2016	lars.stemmann@obs-vlfr.fr	149	UVP5hd GreenEdge 2016	CC BY-NC 4.0	x	1	1	
87	uvp5_sn203_greenedge_2016_1b	lars.stemmann@obs-vlfr.fr	149	UVP5hd GreenEdge 2016	CC BY-NC 4.0	x	1	1	
90	uvp5_sn003_iado_2017	irisson@normalesup.org	651	UVP5 IADO 2017	CC BY 4.0		1	1	
92	uvp5_sn201_2017_naames_03	lee.karp-boss@maine.edu	637	UVP5hd NAAMES03	CC BY-NC 4.0	x	1	1	
95	uvp5_sn010_2017_m135	rkiko@geomar.de	548	UVP5 Geomar 2017 m135		x	1	1	
96	uvp5_sn010_2017_m136	rkiko@geomar.de	620	UVP5 Geomar 2017 m136			1	1	
97	uvp5_sn010_2017_m137	rkiko@geomar.de	621	UVP5 Geomar 2017 m137			1	1	
98	uvp5_sn010_2017_m138	rkiko@geomar.de	622	UVP5 Geomar 2017 m138		x	1	1	
99	uvp5_sn000_tara2011	lars.stemmann@obs-vlfr.fr	579	UVP5 Tara Oceans (tara2009, tara2010, tara2011, tara2012, tara2013)	CC BY 4.0	x	1	1	
100	uvp5_sn002_moose_ge_2017_filtered	laurent.coppola@obs-vlfr.fr	853	UVP5 MooseGE 2017			1	2	
104	uvp5_sn009_2018_nga_spring_filtered	amcdonnell@alaska.edu	964	uvp5_sn009_2018_nga_spring	CC BY 4.0		1	2	
105	uvp5_sn008_ips_amundsen_2018	marcel.babin@takuvik.ulaval.ca	1165	UVP5 IPS Amundsen 2018	CC BY 4.0	x	1	1	
109	uvp5_sn010_2014_eddy	rkiko@geomar.de	881	UVP5 Geomar 2014  eddy		x	1	1	
110	uvp5_sn010_2017_fluxes1	rainer.kiko@obs-vlfr.fr	507	UVP5 Geomar 2017 fluxes1		x	1	1	
111	uvp5_sn010_2017_fluxes2	rainer.kiko@obs-vlfr.fr	855	UVP5 Geomar 2017 fluxes2			1	1	
112	uvp5_sn009_2017_asgard	amcdonnell@alaska.edu	1261	uvp5_sn009_2017_asgard	CC BY 4.0		1	1	
113	LISST EXPORTS	stuart.halewood@ucsb.edu					#N/A	#N/A	
121	uvp5_sn002_iado_2018	irisson@normalesup.org	1343	UVP5 IADO 2018	CC BY 4.0		1	1	
124	uvp5_sn003_mobydick_2018	enter lguidi@obs-vlfr.fr	1451	Mobydick 2018	CC BY 4.0		1	0	
130	uvp5_sn009_2018_nga_summer_filtered	amcdonnell@alaska.edu	1666	uvp5_sn009_2018_nga_summer	CC BY 4.0		#N/A	#N/A	
131	uvp5_sn009_2018_nga_fall_filtered	smcdonnell@alaska.edu	1692	uvp5_sn009_2018_nga_fall	CC BY 4.0		1	2	
132	uvp5_sn009_pomz	amcdonnell@alaska.edu	1892	uvp5_sn009_2016_pomz	CC BY 4.0		1	2	
134	uvp5_sn205_perle_02_2019_filtered	demadron@univ-perp.fr	2163	UVP5 PERLE 02 2019 (sn205)	CC BY 4.0		1	2	
138	uvp5hd_sn207_2019_i06s_tcn322_filtered	amcdonnell@alaska.edu	2289	uvp5hd_sn207_2019_i06s_tcn322	CC BY 4.0		1	2	
139	uvp5_sn009_2019_nga_lter_spring_filtered	amcdonnell@alaska.edu	4019	uvp5_sn009_2019_nga_lter_spring			1	2	
141	uvp5_sn009_2016_goa_spring	amcdonnell@alaska.edu	2430	uvp5_sn009_2016_nga_spring	CC BY 4.0		1	1	
142	uvp5_sn009_2017_sewardline_fall	amcdonnell@alaska.edu	2417	uvp5_sn009_2017_nga_fall	CC BY 4.0		1	1	
143			583	Zooscan BATS	Copyright		#N/A	#N/A	
144	uvp5_sn003_csiro_iioe	david.antoine@curtin.edu.au	2410	UVP5 CurtinUni IIOE 2019 NEW!	CC BY-NC 4.0		1	1	
146	uvp5_sn009_2016_goa_fall	amcdonnell@alaska.edu	2412	uvp5_sn009_2016_nga_fall	CC BY 4.0		1	1	
147	uvp5_sn009_chukchi_borderlands_2016	amcdonnell@alaska.edu	2431	uvp5_sn009_chukchi_borderlands_2016	CC BY 4.0		1	1	
148	uvp5_sn009_tb14	amcdonnell@alaska.edu	2453	uvp5_sn009_2014_transboundary			0	0	
149	uvp5_sn002_moose_ge_2019	coppola@obs-vlfr.fr	2436	UVP5 MooseGE 2019			1	1	
150	uvp5_sn207_2018_s04p_filtered	amcdonnell@alaska.edu	3373	uvp5_sn207_2018_s04p_filtered	CC BY 4.0		1	2	
151	uvp5_sn009_2019_nga_lter_summer_filtered	amcdonnell@alaska.edu	2464	uvp5_sn009_2019_nga_lter_summer	CC BY 4.0		1	2	
152	UVPsn008_2018_leg02c	marcel.babin@takuvik.ulaval.ca	2469	UVPsn008_2018_leg02c	CC BY-NC 4.0		1	1	
153	uvp5_sn205_coastdark_2019	emilia@iopan.pl	2483	uvp5_sn205_coastdark_2019	CC BY 4.0		1	1	
154	uvp5_sn201_ccelter_2019_filtered	tristan.biard@univ-littoral.fr	2485	UVP5hd CCELTER 2019	CC BY-NC 4.0		1	2	
161	uvp5_sn008_uvp_azomp	igor.yashayaev@dfo-mpo.gc.ca	2489	DFO AZOMP Labrador Sea 2019 UVP5			1	0	
163							#N/A	#N/A	
164	uvp5_sn005_moose_antares_2020b						0	0	
165	uvp5_sn005_moose_antares_201718	francois.carlotti@mio.osupytheas.fr					0	0	
166	uvp5_sn002_moose_dyf_2018	coppola@obs-vlfr.fr	35	UVP5 Dyfamed 2013 2014 2015 2016 2017 2018		x	1	1	
167	UEA_SV						#N/A	#N/A	
168	uvp5_sn200_moose_ge_2018_filtered	coppola@obs-vlfr.fr	2784	UVP5 MooseGE 2018			1	2	
169	Test_Heringslarven						#N/A	#N/A	
171	uvp5_sn010_2018_m147	rainer.kiko@obs-vlfr.fr	2806	UVP5 Geomar 2018 m147			1	1	
172	uvp5_sn010_2018_m145	rainer.kiko@obs-vlfr.fr	2807	UVP5 Geomar 2018 m145			1	1	
173	uvp5_sn010_2018_m148	rainer.kiko@obs-vlfr.fr	2808	UVP5 Geomar 2018 m148			1	1	
183	uvp-test						0	0	
186	uvp-test-2	enter op. email					#N/A	#N/A	
191	UVP5_UofSC		2551	UofSC Bermuda Atlantic Time Series UVP5_2019	Copyright		#N/A	#N/A	
192	uvp6_sn000002lp_20190724_intercalibrage	marc.picheral@obs-vlfr.fr	3039	uvp6_sn000002lp_20190724_intercalibrage	CC BY 4.0		#N/A	#N/A	
193	uvp6_sn000004lp_20190724_intercalibrage	marc.picheral@obs-vlfr.fr	3040	uvp6_sn000004lp_20190724_intercalibrage	CC BY 4.0		#N/A	#N/A	
194	uvp6_sn000005lp_20200130_20200221_intercalibrage	marc.picheral@obs-vlfr.fr	3004	uvp6_sn000005lp_20200130_20200221_intercalibrage	CC BY 4.0		#N/A	#N/A	
195	uvp6_sn000007lp_20200130_20200221_intercalibrage	marc.picheral@obs-vlfr.fr	3005	uvp6_sn000007lp_20200130_20200221_intercalibrage	CC BY 4.0		#N/A	#N/A	
197	uvp6_sn000010lp_2019_11_cts5_usea_trial	marc.picheral@obs-vlfr.fr	3047	uvp6_sn000010lp_2019_11_cts5_usea_trial	CC BY 4.0		#N/A	#N/A	
198	uvp6_sn000010lp_20190724_intercalibrage	marc.picheral@obs-vlfr.fr	3050	uvp6_sn000010lp_20190724_intercalibrage	CC BY 4.0		#N/A	#N/A	
199	uvp6_sn000010lp_20200130_20200221_intercalibrage	marc.picheral@obs-vlfr.fr	3007	uvp6_sn000010lp_20200130_20200221_intercalibrage	CC BY 4.0		#N/A	#N/A	
200	uvp6_sn000008lp_20200130_20200221_intercalibrage	marc.picheral@obs-vlfr.fr					#N/A	#N/A	
201	uvp6_sn000008lp_20200130_20200221_intercalibrage	marc.picheral@obs-vlfr.fr	3006	uvp6_sn000008lp_20200130_20200221_intercalibrage	CC BY 4.0		#N/A	#N/A	
202	uvp6_sn000002lp_20190724_intercalibrage	marc.picheral@obs-vlfr.fr	3039	uvp6_sn000002lp_20190724_intercalibrage	CC BY 4.0		#N/A	#N/A	
203	uvp6_sn000007lp_20190724_intercalibrage	marc.picheral@obs-vlfr.fr	3056	uvp6_sn000007lp_20190724_intercalibrage	CC BY 4.0		#N/A	#N/A	
204	uvp6_sn000004lp_20190207_intercalibrage	marc.picheral@obs-vlfr.fr					#N/A	#N/A	
205	uvp6_sn000002lp_20190207_intercalibrage	marc.picheral@obs-vlfr.fr					#N/A	#N/A	
206	uvp6_sn000100lp_20200205_intercalibrage	marc.picheral@obs-vlfr.fr	3015	uvp6_sn000100lp_20200205_intercalibrage	CC BY 4.0		#N/A	#N/A	
208	uvp6_sn000101lp_20200130_20200205_intercalibrage	marc.picheral@obs-vlfr.fr	3008	uvp6_sn000101lp_20200130_20200205_intercalibrage	CC BY 4.0		#N/A	#N/A	
209	uvp6_sn000102lp_20200205_intercalibrage	marc.picheral@obs-vlfr.fr	3009	uvp6_sn000102lp_20200205_intercalibrage	CC BY 4.0		#N/A	#N/A	
210	uvp6_sn000103lp_20200130_20200221_intercalibrage	marc.picheral@obs-vlfr.fr	3010	uvp6_sn000103lp_20200130_20200221_intercalibrage	CC BY 4.0		#N/A	#N/A	
211	uvp6_sn000104lp_20200130_20200205_intercalibrage	marc.picheral@obs-vlfr.fr	3011	uvp6_sn000104lp_20200130_20200205_intercalibrage	CC BY 4.0		#N/A	#N/A	
212	uvp6_sn000108lp_20200205_intercalibrage	marc.picheral@obs-vlfr.fr	3063	uvp6_sn000108lp_20200205_intercalibrage	CC BY 4.0		#N/A	#N/A	
213	uvp6_sn000110lp_20200205_intercalibrage	marc.picheral@obs-vlfr.fr	3064	uvp6_sn000110lp_20200205_intercalibrage	CC BY 4.0		#N/A	#N/A	
214	uvp6_sn000111lp_20200130_20200205_intercalibrage	marc.picheral@obs-vlfr.fr	3069	uvp6_sn000111lp_20200130_20200205_intercalibrage	CC BY 4.0		#N/A	#N/A	
215	uvp6_sn000112lp_20200130_20200205_intercalibrage	marc.picheral@obs-vlfr.fr	3016	uvp6_sn000112lp_20200130_20200205_intercalibrage	CC BY 4.0		#N/A	#N/A	
216	uvp6_sn000113lp_20200130_20200205_intercalibrage	marc.picheral@obs-vlfr.fr	3017	uvp6_sn000113lp_20200130_20200205_intercalibrage	CC BY 4.0		#N/A	#N/A	
217	uvp6_sn000114lp_20200130_20200205_intercalibrage	marc.picheral@obs-vlfr.fr	3018	uvp6_sn000114lp_20200130_20200205_intercalibrage	CC BY 4.0		#N/A	#N/A	
218	uvp6_sn000004lp_20190326_seaexplorer_002	marc.picheral@obs-vlfr.fr	3076	uvp6_sn000004lp_20190326_seaexplorer_002	CC BY 4.0		#N/A	#N/A	
219	uvp6_sn000004lp_20190430_nke_float_down	marc.picheral@obs-vlfr.fr	3077	uvp6_sn000004lp_20190430_nke_float_down	CC BY 4.0		#N/A	#N/A	
220	uvp6_sn000003lp_20180702_intercalibrage_bassin	marc.picheral@obs-vlfr.fr					#N/A	#N/A	
221	uvp6_sn000003lp_2018_awi_mooring	andreas.rogge@awi.de	3081	uvp6_sn000003lp_2018_awi_mooring	Copyright		#N/A	#N/A	
222	uvp6_sn000008lp_20190430_nke_float_up	marc.picheral@obs-vlfr.fr	3083	uvp6_sn000008lp_20190430_nke_float_up	CC BY 4.0		#N/A	#N/A	
223	uvp5_sn010_2016_m131	rainer.kiko@obs-vlfr.fr	545	UVP5 Geomar 2016 m131			1	1	
224	uvp6_sn000007lp_2019_seaglider_test_cscs	marc.picheral@obs-vlfr.fr	3116	uvp6_sn000007lp_2019_seaglider_test_cscs	CC BY 4.0		#N/A	#N/A	
225	uvp6_sn000004lp_20190628_nke_float_longue_duree	marc.picheral@obs-vlfr.fr	3115	uvp6_sn000004lp_20190628_nke_float_longue_duree	CC BY 4.0		#N/A	#N/A	
226	uvp5_sn010_2016_love	hhauss@geomar.de	3117	UVP5 Geomar 2016 love	CC0 1.0		1	1	
228	uvp5_sn201_exports01_filtered	emmanuel.boss@maine.edu	1286	UVP5hd EXPORTS NP R/V Roger Revelle	CC BY-NC 4.0		1	2	yes
229	test0609	enter op. email					#N/A	#N/A	
230	uvp5_sn207_2018_exports_np_sr1812_filtered	amcdonnell@alaska.edu	1591	UVP5hd_sn207_2018_Exports_np_sr1812	CC BY 4.0		1	2	yes
231	uvp5_sn202_msm060_filtered	andreas.rogge@awi.de, anya.waite@dal.ca	351	UVP5hd msm060 (2017)	Copyright	x	1	2	
232	uvp5_sn202_msm074_filtered	jkarstensen@geomar.de, andreas.rogge@awi.de, anya.waite@dal.ca	1337	UVP5hd MSM074	Copyright		1	2	
233	uvp6_sn000110lp_2020_07_float_remote	marc.picheral@obs-vlfr.fr					#N/A	#N/A	
234	uvp5_sn009_2018_asgard_filtered	amcdonnell@alaska.edu	1446	uvp5_sn009_2018_asgard	CC BY 4.0		1	2	
235	uvp5_sn200_perle_02_2019_filtered	demadron@univ-perp.fr	2164	UVP5 PERLE 02 2019 (sn200)	CC BY 4.0		1	2	
236	uvp5_sn201_2018_naames_04_filtered	lee.karp-boss@maine.edu	1252	UVP5hd Naames 04	CC BY-NC 4.0	x	1	2	yes
237	uvp5_sn202_ps99_20_06_filtered	andreas.rogge@awi.de, anya.waite@awi.de	256	UVP5hd PS 99 20 06	Copyright		1	2	
238	uvp5_sn205_perle_03_2020_filtered	demadron@univ-perp.fr	2970	UVP5 PERLE 03 2020 (sn205)	CC BY 4.0		1	2	yes
239	uvp5_sn204_arctic2018_all_filtered	andreas.rogge@awi.de	2463	UVP5hd ARCTIC2018	Copyright		0	1	
240	uvp5_sn200_ilhas_2017_filtered	rubens@usp.br	3813	uvp5_sn200_ilhas_2017_filtered_vignettes			1	2	
241	sytumsat1	ytanaka@kaiyodai.ac.jp					#N/A	#N/A	
242	sytumsat1	ytanaka@kaiyodai.ac.jp					#N/A	#N/A	
243	sytumsat1	ytanaka@kaiyodai.ac.jp					#N/A	#N/A	
244	sytumsat1	ytanaka@kaiyodai.ac.jp					#N/A	#N/A	
245	syTUMSAT1	ytanaka@kaiyodai.ac.jp					#N/A	#N/A	
246	uvp5_sn011_2016_syTUMSAT1	ytanaka@kaiyodai.ac.jp	3221	syTUMSAT1			1	1	
247	uvp5_sn011_2017_syTUMSAT2	ytanaka@kaiyodai.ac.jp	3222	syTUMSAT2	CC BY 4.0		1	1	
248	uvp6_sn000007lp_20200702_seaexplorer_test	marc.picheral@obs-vlfr.fr	3251	uvp6_sn000007lp_20200702_seaexplorer_test	CC BY 4.0		#N/A	#N/A	
249	uvp6_sn000110lp_2020_07_float_recover	marc.picheral@obs-vlfr.fr	3278	uvp6_sn000110lp_2020_07_float_recover	CC BY 4.0		#N/A	#N/A	
250	uvp6_sn000006lp_2020_sc_basintest	marc.picheral@obs-vlfr.fr	3327	uvp6_sn000006lp_2020_sc_basintest	CC BY 4.0		#N/A	#N/A	
251	uvp5_sn002_iado_2014	irisson@normalesup.org					1	1	
252	uvp5_sn002_iado_2015	irisson@normalesup.org					1	1	
253	UVP5 Geomar 2017 m136_m138 sediment trap subset						#N/A	#N/A	
254	uvp5_sn002_iado_2020	irisson@obs-vlfr.fr	3403	uvp5_sn002_iado_2020	CC BY 4.0		#N/A	#N/A	
255	uvp5_sn210_2019_m158	rainer.kiko@obs-vlfr.fr					1	2	yes
256	uvp5_sn210_2019_m159	rainer.kiko@obs-vlfr.fr					1	2	yes
257	uvp5_sn009_en_534_mcdonnell	amcdonnell@alaska.edu	4020	uvp5_sn009_2014_en534			1	0	
259	uvp6_sn000007lp_20200924_intercalibrage		3458	uvp6_sn000007lp_20200924_intercalibrage	CC BY 4.0		#N/A	#N/A	
260	SCOPE/HOT	aewhite@hawaii.edu	3460	SCOPE/HOT			#N/A	#N/A	
261	uvp6_sn000111lp_20200924_intercalibrage		3501	uvp6_sn000111lp_20200924_intercalibrage	CC BY 4.0		#N/A	#N/A	
262	uvp6_sn000112lp_20200924_intercalibrage		3502	uvp6_sn000112lp_20200924_intercalibrage	CC BY 4.0		#N/A	#N/A	
263	uvp6_sn000003lp_20200924_intercalibrage		3503	uvp6_sn000003lp_20200924_intercalibrage	CC BY 4.0		#N/A	#N/A	
264	uvp6_sn000107lp_20200924_intercalibrage		3504	uvp6_sn000107lp_20200924_intercalibrage	CC BY 4.0		#N/A	#N/A	
265	uvp6_sn000001lp_20201001_intercalibrage		3505	uvp6_sn000001lp_20201001_intercalibrage	CC BY 4.0		#N/A	#N/A	
